scenario,n_demand,n_candidate,radius_m,k,algorithm,coverage_count,coverage_rate,avg_nearest_distance_m,max_nearest_distance_m,eval_count,runtime_seconds
bus_stop_only,769,28,200,5,Greedy,346,0.44993498049414826,252.13419271793606,1042.5414238442625,131,0.0010261999996146187
bus_stop_only,769,28,200,5,Lazy Greedy,346,0.44993498049414826,252.13419271793606,1042.5414238442625,38,0.0001567999988765223
bus_stop_only,769,28,200,10,Greedy,480,0.6241872561768531,175.19432897303193,527.1624823885636,236,0.0028795999987778487
bus_stop_only,769,28,200,10,Lazy Greedy,480,0.6241872561768531,175.19432897303193,527.1624823885636,53,0.0004315999995014863
bus_stop_only,769,28,200,15,Greedy,543,0.706111833550065,155.36693514683367,332.66501601046485,316,0.004974699999365839
bus_stop_only,769,28,200,15,Lazy Greedy,543,0.706111833550065,155.36693514683367,332.66501601046485,68,0.0007731999994575744
bus_stop_only,769,28,200,20,Greedy,575,0.7477243172951885,147.4109309392033,332.66501601046485,371,0.006770399999368237
bus_stop_only,769,28,200,20,Lazy Greedy,575,0.7477243172951885,147.4109309392033,332.66501601046485,79,0.0010931999986496521
road_nodes,769,400,200,5,Greedy,452,0.58777633289987,243.94668065265432,975.1992473539552,1991,0.01765270000032615
road_nodes,769,400,200,5,Lazy Greedy,452,0.58777633289987,243.94668065265432,975.1992473539552,456,0.0016079000015452038
road_nodes,769,400,200,10,Greedy,666,0.8660598179453837,143.24545174636253,482.72055654999593,3956,0.0647515000000567
road_nodes,769,400,200,10,Lazy Greedy,666,0.8660598179453837,143.24545174636253,482.72055654999593,673,0.006982400000197231
road_nodes,769,400,200,15,Greedy,732,0.951885565669701,126.36814064717873,333.6518385570933,5896,0.13026799999897776
road_nodes,769,400,200,15,Lazy Greedy,732,0.951885565669701,126.36814064717873,333.6518385570933,873,0.011099600000306964
road_nodes,769,400,200,20,Greedy,760,0.988296488946684,114.88258423137677,278.05583322828085,7811,0.18085179999980028
road_nodes,769,400,200,20,Lazy Greedy,760,0.988296488946684,114.88258423137677,278.05583322828085,1062,0.017634199999520206
